	Country	Death Rate	GDP - per capita (PPP) (US$)	Unemployment rate (%)
0	Uruguay	0.003289473684210526	22400.0	7.6
1	Mauritius	0.0196078431372549	22300.0	7.1
2	Channel Islands	0.01		
3	Martinique	0.010752688172043012		
4	Montenegro	0.011764705882352941	17800.0	16.1
5	Kyrgyzstan	0.0	3700.0	7.1
6	Bolivia	0.0	7600.0	4.0
7	Mayotte	0.0		
8	Rwanda	0.0	2100.0	2.7
9	Liechtenstein	0.0	139100.0	2.4
10	Madagascar	0.0	1600.0	1.8
11	Isle of Man	0.0	84600.0	1.1
12	French Polynesia	0.0	17000.0	21.8
13	Uganda	0.0	2400.0	9.4
14	Zambia	0.0	4000.0	15.0
15	Barbados	0.0	18600.0	10.1
16	El Salvador	0.0	8000.0	7.0
17	Congo	0.0		
18	Mali	0.05555555555555555	2200.0	7.9
19	Niger	0.05555555555555555	1200.0	0.3
20	Guinea	0.0	2200.0	2.7
21	New Caledonia	0.0	31100.0	14.7
22	Djibouti	0.0	3600.0	40.0
23	Equatorial Guinea	0.0	37400.0	8.6
24	Mongolia	0.0	13000.0	8.0
25	Dominica	0.0	11000.0	23.0
26	Saint Martin	0.0	19300.0	
27	Grenada	0.0	15100.0	24.0
28	Eswatini	0.0		
29	Cayman Islands	0.125	43800.0	4.0
30	Guyana	0.125	8100.0	11.1
31	Laos	0.0	7400.0	0.7
32	Mozambique	0.0	1300.0	24.5
33	Myanmar	0.0		
34	Seychelles	0.0	29300.0	3.0
35	Suriname	0.0	14900.0	8.9
36	Gabon	0.14285714285714285	18100.0	28.0
37	Zimbabwe	0.14285714285714285	2300.0	11.3
38	Antigua and Barbuda	0.0	26400.0	11.0
39	Cabo Verde	0.16666666666666666		
40	Benin	0.0	2300.0	1.0
41	Eritrea	0.0	1600.0	5.8
42	Vatican City	0.0		
43	Sudan	0.2	4300.0	19.6
44	Angola	0.0	6800.0	6.6
45	Fiji	0.0	9800.0	4.5
46	Mauritania	0.0	4500.0	10.2
47	Montserrat	0.0	34000.0	5.6
48	St. Barth	0.0		
49	Syria	0.0	2900.0	50.0
50	Nicaragua	0.25	5900.0	6.4
51	Bhutan	0.0	9000.0	3.2
52	Turks and Caicos	0.0		
53	Gambia	0.3333333333333333		
54	CAR	0.0		
55	Chad	0.0	2300.0	
56	Liberia	0.0	1300.0	2.8
57	Libya	0.0	9600.0	30.0
58	Sint Maarten	0.0		
59	Somalia	0.0		
60	MS Zaandam	0.0		
61	Anguilla	0.0	12200.0	8.0
62	Belize	0.0	8300.0	9.0
63	British Virgin Islands	0.0	34200.0	2.9
64	Guinea-Bissau	0.0	1900.0	
65	Saint Kitts and Nevis	0.0	28200.0	4.5
66	Papua New Guinea	0.0	3700.0	2.5
67	Timor-Leste	0.0		
68	Lithuania	0.016018306636155607	32400.0	7.1
69	Latvia	0.0	27700.0	8.7
70	Réunion	0.0		
71	Trinidad and Tobago	0.039473684210526314	31300.0	4.9
72	Paraguay	0.05357142857142857	12800.0	5.7
73	Aruba	0.0	37500.0	7.7
74	Monaco	0.023255813953488372	115700.0	2.0
75	Kenya	0.02631578947368421	3500.0	40.0
76	Togo	0.04	1700.0	6.9
77	Ethiopia	0.0	2200.0	17.5
78	Haiti	0.0	1800.0	40.6
79	Tanzania	0.0	3200.0	10.3
80	Bahamas	0.0		
81	Nepal	0.0	2700.0	3.0
82	Saint Lucia	0.0	14400.0	20.0
83	St. Vincent Grenadines	0.0		
